x1,y1,x2,y2
1601,801,361,132
361,132,373,1477
373,1477,306,172
306,172,408,1498
408,1498,263,208
263,208,397,1491
397,1491,253,217
253,217,421,1505
421,1505,243,226
243,226,433,1511
433,1511,234,236
234,236,421,1505
421,1505,274,198
274,198,408,1498
408,1498,224,246
224,246,457,1523
457,1523,215,256
215,256,445,1517
445,1517,284,189
284,189,433,1511
433,1511,215,256
215,256,482,1535
482,1535,196,276
196,276,470,1529
470,1529,187,287
187,287,495,1540
495,1540,178,297
178,297,508,1545
508,1545,170,308
170,308,495,1540
495,1540,327,155
327,155,361,1469
361,1469,295,181
295,181,457,1523
457,1523,421,96
421,96,1566,1031
1566,1031,445,84
445,84,1558,1058
1558,1058,470,72
470,72,1549,1083
1549,1083,508,56
508,56,1503,1183
1503,1183,667,12
667,12,1382,1350
1382,1350,694,8
694,8,1363,1370
1363,1370,680,10
680,10,1427,1298
1427,1298,831,1
831,1,1311,1416
1311,1416,804,1
804,1,1444,1276
1444,1276,640,17
640,17,1400,1330
1400,1330,708,6
708,6,1391,1340
1391,1340,626,20
626,20,1435,1287
1435,1287,790,1
790,1,1311,1416
1311,1416,873,4
873,4,1400,1330
1400,1330,749,2
749,2,1343,1389
1343,1389,804,1
804,1,1460,1254
1460,1254,763,1
763,1,1418,1309
1418,1309,600,26
600,26,1460,1254
1460,1254,708,6
708,6,1343,1389
1343,1389,790,1
790,1,1427,1298
1427,1298,886,5
886,5,1409,1319
1409,1319,721,4
721,4,1353,1379
1353,1379,818,1
818,1,1467,1242
1467,1242,613,23
613,23,1382,1350
1382,1350,680,10
680,10,1452,1265
1452,1265,818,1
818,1,1322,1407
1322,1407,776,1
776,1,1311,1416
1311,1416,763,1
763,1,1444,1276
1444,1276,968,18
968,18,1332,1398
1332,1398,845,2
845,2,1435,1287
1435,1287,694,8
694,8,1391,1340
1391,1340,859,3
859,3,1444,1276
1444,1276,900,7
900,7,1467,1242
1467,1242,927,11
927,11,1363,1370
1363,1370,667,12
667,12,1353,1379
1353,1379,859,3
859,3,1409,1319
1409,1319,586,30
586,30,1427,1298
1427,1298,626,20
626,20,1382,1350
1382,1350,831,1
831,1,1363,1370
1363,1370,653,14
653,14,1452,1265
1452,1265,981,21
981,21,1435,1287
1435,1287,900,7
900,7,1418,1309
1418,1309,667,12
667,12,1460,1254
1460,1254,914,9
914,9,1452,1265
1452,1265,790,1
790,1,1332,1398
1332,1398,721,4
721,4,1467,1242
1467,1242,941,13
941,13,1372,1360
1372,1360,694,8
694,8,1467,1242
1467,1242,776,1
776,1,1427,1298
1427,1298,1021,32
1021,32,1418,1309
1418,1309,735,3
735,3,1391,1340
1391,1340,586,30
586,30,1452,1265
1452,1265,873,4
873,4,1418,1309
1418,1309,547,42
547,42,1409,1319
1409,1319,653,14
653,14,1343,1389
1343,1389,859,3
859,3,1301,1425
1301,1425,763,1
763,1,1409,1319
1409,1319,845,2
845,2,1391,1340
1391,1340,1074,49
1074,49,1363,1370
1363,1370,613,23
